"Statistical unit","Unit of measure","Level of education","Orientation","Sex","Age","Grade","Type of institution","Level of educational attainment","School subject","Wealth quintile","Infrastructure","Location","Type of education","Socioeconomic background","Source of funding","Funding flow","Reference area","Time Period","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","93.10000","93.99000","94.45000","94.80000","95.39000","95.55000","95.89000","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","67.76000","72.35000","73.91000","74.27000","76.13000","71.94000","76.70000","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L3:_T:M:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","37.48342","34.19340","32.85532","32.52891","29.60121","29.06382","28.46326","31.98683","30.80139","32.80957",""
"CR:Completion rate","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L1:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","95.53000","96.20000","97.07000","96.04000","97.21000","96.88000","98.29000","","","",""
"CR:Completion rate","GPI:Gender parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.09549","1.10733","1.13722","1.11245","1.10142","1.07244","1.06590","","","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L2_3:Secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L2_3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","16.12258","16.34715","14.95425","15.60559","15.01742","11.96548","10.15092","13.83746","16.45719","18.37271",""
"STU:Students","PT:Percentage","L1:Primary education","_T:Total","M:Male","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L1:_T:M:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","17.37334","17.87025","14.52431","13.33789","12.42621","10.54792","","9.24699","8.98649","9.09006",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L2:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","4.13000","3.62000","5.18000","4.11000","4.03000","3.85000","4.05000","","","",""
"TRTP:Percentage of trained teachers","PT:Percentage","L4:Post-secondary non-tertiary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","TRTP:PT:L4:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","0","0","0","","","","0","0","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L6T8:At least completed bachelor's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L6T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","18.50633","","","","21.54465","",""
"ROFST:Rate of out-of-school children","PT:Percentage","L1T3:Primary and secondary education","_T:Total","F:Female","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST:PT:L1T3:_T:F:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","11.12385","12.21067","10.58025","10.41724","10.14229","9.50436","9.02707","10.16439","11.81007","14.35296",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:M:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","54.94000","","","","","","","",""
"EA:Educational attainment","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L4T8:At least completed post-secondary non-tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:GPI:_Z:_Z:_T:Y_GE25:_Z:_Z:L4T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0","0","0","","1.40903","","","","1.36827","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y15T24:15-24 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:_T:Y15T24:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","98.39878","","98.53330","","97.55916","","","","99.00763","98.75951",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ELEC:Electricity","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:ELEC:_T:_T:_T:_Z:_Z:VE","","","","53.56754","","","","","","99.48288",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","62.47000","64.26000","64.44000","66.46000","69.63000","70.51000","67.35000","","","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PRIV:Private institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ELEC:Electricity","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PRIV:_Z:_T:_Z:ELEC:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","100",""
"STU:Students","PT:Percentage","L1:Primary education","_T:Total","_T:Total","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L1:_T:_T:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","15.03576","15.35119","12.57743","11.38699","10.57349","10.57218","","7.71921","7.53553","7.66687",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:M:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","44.37000","45.46000","49.34000","55.15000","58.77000","54.86000","59.37000","","","",""
"CR:Completion rate","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","70.17000","70.18000","71.93000","74.19000","77.20000","75.26000","74.08000","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L2:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.69128","0.73399","0.77059","0.71271","0.77807","0.70181","0.74319","","","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L2:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","5.15000","4.80000","5.90000","5.09000","4.50000","4.66000","5.02000","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","40.45205","","","","","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","83.15000","81.99000","80.38000","86.08000","83.81000","83.10000","85.59000","","","",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L1:Primary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L1:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.93478","0.92971","0.92475","0.95538","0.94607","0.96307","0.93606","","","",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L1:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","9.07576","","17.90831","","","","","","0.01855","",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y25T64:25-64 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:M:Y25T64:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","95.91643","","96.04850","","94.90514","","","","96.92596","97.41915",""
"LR:Literacy rate","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y15T24:15-24 years","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:PT:_Z:_Z:F:Y15T24:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","98.83610","","98.80499","","98.23637","","","","99.31739","99.09258",""
"LR:Literacy rate","GPI:Gender parity index","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE65:65 years and over","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","LR:GPI:_Z:_Z:_T:Y_GE65:_Z:_Z:_Z:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","0.91638","","0.92178","","0.94689","","","","0.93877","0.96551",""
"CR:Completion rate","SESPIA:Adjusted SES parity index","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPIA:L2:_T:_T:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.74092","0.76631","0.82158","0.74461","0.80823","0.75740","0.80032","","","",""
"SCH:School","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","ELEC:Electricity","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:ELEC:_T:_T:_T:_Z:_Z:VE","","","","67.22827","","","","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","_T:Total","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L1T8:At least completed primary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:_T:Y_GE25:_Z:_Z:L1T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","81.04441","82.23037","82.74966","","","","","","87.73692","",""
"STU_NON_NATIVE:Students who have an immigrant background","PT:Percentage","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU_NON_NATIVE:PT:L2:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","34.30000","","","","","","","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q4:Fourth","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q4:_Z:_T:_T:_T:_Z:_Z:VE","1.27469","1.19421","1.24209","1.24887","1.22533","1.14962","1.22762","","","",""
"GER:Gross enrolment ratio","PT:Percentage","L0:Early childhood education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L0:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","49.39895","49.72471","52.66220","53.40869","51.64394","50.99420","54.27482","52.76798","53.90715","50.12084",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L2:Lower secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L2:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","9.04392","","16.35503","","","","","","0.01567","",""
"GER:Gross enrolment ratio","PT:Percentage","L5T8:Tertiary education","_T:Total","F:Female","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","GER:PT:L5T8:_T:F:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","97.68818","","","","","","","","",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","M:Male","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:M:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","68.52000","70.04000","72.18000","73.43000","74.63000","70.78000","74.13000","","","",""
"STU:Students","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","READING:Reading","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:PT:L2:_T:F:_T:GLAST:INST_T:_Z:READING:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","61.12000","","","","","","","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q5:Richest","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q5:_Z:_T:_T:_T:_Z:_Z:VE","1.17913","1.11392","1.18460","1.17067","1.11426","1.15053","1.17588","","","",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","F:Female","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L5T8:At least completed short-cycle tertiary education","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:F:Y_GE25:_Z:_Z:L5T8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","15.90209","16.95954","18.45600","","28.93623","","","","34.76765","",""
"ROFST_PHH:Rate of out-of-school children (household survey data)","PT:Percentage","L3:Upper secondary education","_T:Total","_T:Total","SCH_AGE_GROUP:School-age population","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ROFST_PHH:PT:L3:_T:_T:SCH_AGE_GROUP:_T:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","16.21000","16.70000","16.61000","15.63000","16.18000","16.01000","17.18000","","","",""
"XUNIT:Government expenditure per student","GDP_CAP:as % of GDP per capita","L02:Pre-primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","GOV:Government","FFNTR:Initial (net of transfers received)","VE:Venezuela (Bolivarian Republic of)","XUNIT:GDP_CAP:L02:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:GOV:FFNTR:VE","6.88558","","17.11590","","","","","","0.01820","",""
"ADMIN:Administration","NB:Number","L1:Primary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","MATH:Mathematics","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","ADMIN:NB:L1:_T:_T:_T:GLAST:INST_T:_Z:MATH:_Z:_Z:_T:_T:_T:_Z:_Z:VE","","","","","","","","","1","",""
"COMP_EDU:Compulsory education","YR:Years","L2_3:Secondary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","COMP_EDU:YR:L2_3:_T:_T:_T:_T:INST_T:_Z:_T:_Z:_Z:_T:_T:_T:_Z:_Z:VE","5","5","5","5","5","5","5","5","5","5",""
"CR:Completion rate","PT:Percentage","L2:Lower secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q3:Middle","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:PT:L2:_T:F:_T:GLAST:INST_T:_Z:_T:Q3:_Z:_T:_T:_T:_Z:_Z:VE","80.38000","85.76000","85.04000","86.06000","87.19000","82.27000","86.07000","","","",""
"STU:Students","GPI:Gender parity index","L1:Primary education","_T:Total","_T:Total","GE2_OVER_AGE:At least 2 years over age","_T:Total","INST_T:All institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","_T:Total","INIT:Initial education","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","STU:GPI:L1:_T:_T:GE2_OVER_AGE:_T:INST_T:_Z:_T:_Z:_Z:_T:INIT:_T:_Z:_Z:VE","0.72128","0.70793","0.72241","0.69684","0.69150","1.00475","","0.65877","0.66577","0.67605",""
"EA:Educational attainment","PT:Percentage","_Z:Not applicable","_Z:Not applicable","M:Male","Y_GE25:25 years and over","_Z:Not applicable","_Z:Not applicable","L7_8:At least completed master's or equivalent level","_Z:Not applicable","_Z:Not applicable","_Z:Not applicable","_T:Total","_Z:Not applicable","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","EA:PT:_Z:_Z:M:Y_GE25:_Z:_Z:L7_8:_Z:_Z:_Z:_T:_Z:_T:_Z:_Z:VE","","","","","","","","","0.81621","",""
"SCH:School","PT:Percentage","L1:Primary education","_T:Total","_T:Total","_T:Total","_T:Total","INST_PUB:Public institutions","_Z:Not applicable","_T:Total","_Z:Not applicable","IMPR_SSEX_USE_TOILET:Single-sex basic sanitation facilities","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","SCH:PT:L1:_T:_T:_T:_T:INST_PUB:_Z:_T:_Z:IMPR_SSEX_USE_TOILET:_T:_T:_T:_Z:_Z:VE","","","","","","","","","","88.69661",""
"CR:Completion rate","SESPI:Socioeconomic status parity index","L3:Upper secondary education","_T:Total","F:Female","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","_T:Total","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:SESPI:L3:_T:F:_T:GLAST:INST_T:_Z:_T:_T:_Z:_T:_T:_T:_Z:_Z:VE","0.58955","0.56614","0.69698","0.62373","0.68784","0.64482","0.66750","","","",""
"CR:Completion rate","GPI:Gender parity index","L3:Upper secondary education","_T:Total","_T:Total","_T:Total","GLAST:Last grade","INST_T:All institutions","_Z:Not applicable","_T:Total","Q2:Second","_Z:Not applicable","_T:Total","_T:Total","_T:Total","_Z:Not applicable","_Z:Not applicable","VE:Venezuela (Bolivarian Republic of)","CR:GPI:L3:_T:_T:_T:GLAST:INST_T:_Z:_T:Q2:_Z:_T:_T:_T:_Z:_Z:VE","1.35294","1.37176","1.29692","1.23735","1.13731","1.25137","1.18511","","","",""
